"Maximum %s are allowed to spend for an order.","Maximum %s are allowed to spend for an order."
"Maximum of your balance","Maximum of your balance"
"Maximum points allowed in account balance is %s.","Maximum points allowed in account balance is %s."
"Minimum redeemable points","Minimum redeemable points"
"Money spent","Money spent"
"Money spent for order","Money spent for order"
"More ways to spend points","More ways to spend points"
"My Account","Mijn Account"
"My Reward Points","Mijn punten"
"My Rewards","Kortingspunten"
"N/A","N/A"
"Name","Naam"
"New Earning Rate","New Earning Rate"
"New Spending Rate","New Spending Rate"
"New Transaction","New Transaction"
"No transaction found!","Nog geen transacties gevonden."
"No transaction was canceled","No transaction was canceled"
"No transaction was completed","No transaction was completed"
"No transaction was expired","No transaction was expired"
"None","Geen"
"Normal","Normaal"
"Not enough points to spend","Niet voldoende punten te spenderen"
"Not found customer to create transaction.","Not found customer to create transaction."
"OR","OF"
"On Hold","On Hold"
"On Hold Points Balance","On Hold Points Balance"
"On minicart","On minicart"
"On product pages","On product pages"
"Pending","Wachtende"
"Please click","<br>Klik"
"Point","Punt"
"Point Balance","Kortingspunten Balans"
"Point Balance Change","Point Balance Change"
"Point Discount","Puntenkorting"
"Point Transactions","Point Transactions"
"Point Used","Gebruikte Punten"
"Points","Punten"
"Points expire after","Punten vervallen na"
"Priority","Prioriteit"
"Quick Overview","Snel bekijken"
"Rate information","Rate information"
"Reach %s to start using your balance for your purchase.","Reach %s to start using your balance for your purchase."
"Recent Transactions","Recente Transacties"
"Recommended size: 18x18. If empty, the image on template will be used.","Recommended size: 18x18. If empty, the image on template will be used."
"Refreshing cart, please wait","Mandje verversen - even geduld."
"Refreshing points, please wait","Verversen punten - even wachten"
"Refund Points Earn","Refund Points Earn"
"Refund earned points","Refund earned points"
"Refund spent points","Refund spent points"
"Retrieve points spent on cancelled order","Retrieve points spent on cancelled order"
"Retrieve points spent on cancelled order #%s","Retrieve points spent on cancelled order #%s"
"Retrieve points spent on refunded order","Terugname punten besteed aan terugbetaalde bestelling"
"Retrieve points spent on refunded order #%s","Terugname punten besteed aan terugbetaalde bestelling %s"
"Return points to customer's balance when order status is","Return points to customer's balance when order status is"
"Reward Points","Kortingspunten"
"Reward Points Image","Reward Points Image"
"Reward Points Information","Reward Points Information"
"Reward Points Settings","Instellingen Kortingspunten"
"Reward Points Subscriptions","Meldingen per mail"
"Reward Policy","Hoe werkt het?"
"Reward Policy page uses CMS","Reward Policy page uses CMS"
"Reward information","Informatie kortingspunten"
"Rounding Down","Rounding Down"
"Rounding Method","Rounding Method"
"Rounding Up","Rounding Up"
"Sales Earning Process","Sales Earning Process"
"Sales Spending Process","Sales Spending Process"
"Save","Opslaan"
"Save And Continue Edit","Opslaan en Blijven Editeren"
"Save And Continue View","Opslaan en Blijven Bekijken"
"Save Transaction","Save Transaction"
"Select","Select"
"Select Customer","Select Customer"
"Select the type to limit spending points","Select the type to limit spending points"
"Send reminder email before a transaction expires","Send reminder email before a transaction expires"
"Sender","Verzender"
"Settings","Instellingen"
"Show Reward Policy link on left navigation","Show Reward Policy link on left navigation"
"Show total points next to My account link","Show total points next to My account link"
"Spend %s","Spend %s"
"Spend Points","Gebruikte Punten"
"Spend Your Points","Mijn kortingspunten"
"Spend points on shipping fee","Spend points on shipping fee"
"Spend points on tax","Spend points on tax"
"Spend points to purchase order","Gebruikte punten bij aankoop van bestelling"
"Spend points to purchase order #%s","Gebruikte punten bij aankoop van bestelling %s"
"Spending Configuration","Spending Configuration"
"Spending Rate","Spending Rate"
"Spending Rate Information","Spending Rate Information"
"Spending Rates","Spending Rates"
"Spending rate was successfully deleted","Spending rate was successfully deleted"
"Spending rate was successfully saved","Spending rate was successfully saved"
"Spent Points","Gebruikte Punten"
"Status","Status"
"Store View","Winkelzicht"
"Subscribe to advance notification of expired point transaction","Ontvang een mail wanneer mijn punten bijna vervallen."
"Subscribe to point balance update","Ontvang een mail wanneer mijn punten wijzigen."
"Taken back points for cancelling order","Taken back points for cancelling order"
"Taken back points for cancelling order #%s","Taken back points for cancelling order #%s"
"Taken back points for refunding order","Teruggenomen punten voor terugbetaling bestelling"
"Taken back points for refunding order #%s","Teruggenomen punten voor terugbetaling bestelling %s"
"Template of email sent to customer before a transaction expires","Template of email sent to customer before a transaction expires"
"Template of email sent to customer when updating point balance","Template of email sent to customer when updating point balance"
"The maximum number of points allowed in Customer’s balance. If empty or zero, there is no limitation.","The maximum number of points allowed in Customer’s balance. If empty or zero, there is no limitation."
"This action can not be restored. Are you sure?","This action can not be restored. Are you sure?"
"Title","Titel"
"Transaction #%s","Transactie #%s"
"Transaction Information","Transactie Informatie"
"Transaction Manager","Transaction Manager"
"Transaction Title","Transaction Title"
"Transaction has been canceled successfully.","Transaction has been canceled successfully."
"Transaction has been completed successfully.","Transaction has been completed successfully."
"Transaction has been created successfully.","Transaction has been created successfully."
"Transaction has been expired successfully.","Transaction has been expired successfully."
"Transaction information","Transaction information"
"Transactions","Transactions"
"Transactions History","Transactions History"
"Transactions Manager","Transactions Manager"
"Type","Type"
"Unable to find item to save","Unable to find item to save"
"Update Points Subscription","Update Points Subscription"
"Updated At","Gewijzigd op"
"Use Customer Reward Points","Use Customer Reward Points"
"Use Reward Points","Gebruik Kortingspunten"
"Use Your Points","Gebruik je punten"
"Use point on spend","Gebruikte kortingspunten"
"Use points on spend","Gebruikte kortingspunten"
"View","Bekijk"
"View All","Alles Bekijken"
"View My Rewards","Details"
"View Order","Bekijk Bestelling"
"View transaction history to follow when the transaction expires.","De vervaldatum vind je hieronder terug bij elke transactie."
"Website","Website"
"Websites","Websites"
"With %s","Met %s"
"XML","XML"
"You could receive some %s for purchasing this product","Je kan %s verdienen door dit product te kopen"
"You have %s that are pending for approval.","Je hebt %s die wachten op goedkeuring."
"You need to earn more","Verzamel"
"point(s) to use this rule.","of meer kortingspunten om hiervan gebruik te kunnen maken."
"You will earn","Bij volgende aankoop"
"You will earn %s by using coupon code ","Je zal %s verdienen door gebruik van coupon code "
"You will spend","Je korting"
"Your balance is","Je hebt momenteel"
"Your settings has been updated successfully.","Je instellingen zijn succesvol aangepast."
"Zoom In","Vergroten"
"Zoom Out","Verkleien"
"and get %s off","en krijg %s korting"
"day","dag"
"day(s) since the transaction date. The maximum number of points allowed in Customer’s balance. If empty or zero, there is no limitation.","day(s) since the transaction date. The maximum number of points allowed in Customer’s balance. If empty or zero, there is no limitation."
"day(s). If empty or zero, no reminder email is sent.","day(s). If empty or zero, no reminder email is sent."
"day(s). If empty or zero, transaction is not held.","day(s). If empty or zero, transaction is not held."
"days","dagen"
"here","hier"
"the equivalent value of points","the equivalent value of points"
"to learn about it.","voor meer details."
"You own","Je verzamelde reeds"
"Go to your cart if you want to edit your order.","Ga naar <a href='/checkout/cart/'>je mandje</a> om wijzigingen uit te voeren."
